Stars	Price	Relv	ID
4.5  	12.49	7.9  	75000
5    	 7.99	7.6  	75001
2    	16.99	6.2  	75002
2.5  	15.49	9.1  	75003
3.5  	20.99	6    	75004
1    	 9.99	8    	75005
1.5  	13.99	1    	75006
5    	 8.49	8.3  	75007
3.5  	10.49	5.2  	75008
3    	27.99	7.7  	75009
3    	22.99	8.9  	75010
2    	11.49	9.1  	75011
1    	26.49	0.8  	75012
1.5  	19.49	3.4  	75013
1    	 3.99	0.6  	75014
2    	27.49	8.5  	75015
2    	16.99	7.6  	75016
3    	19.49	0.3  	75017
2.5  	26.49	7.2  	75018
2    	21.49	3.5  	75019
4    	 7.99	8.8  	75020
4.5  	11.99	8.9  	75021
2.5  	20.49	5.8  	75022
3.5  	24.99	9.2  	75023
2.5  	23.49	9.1  	75024
3    	 8.49	9.2  	75025
1.5  	25.49	4.3  	75026
3.5  	10.49	3    	75027
3    	 8.99	2.7  	75028
3.5  	13.99	9    	75029
1    	 6.99	7.6  	75030
5    	26.49	3.8  	75031
4    	12.99	2.3  	75032
3.5  	 9.99	7.3  	75033
1.5  	22.99	7.4  	75034
1    	26.99	5.2  	75035
1.5  	 9.49	7.3  	75036
3.5  	27.49	7.5  	75037
1    	 6.49	0.7  	75038
1    	 8.99	8.1  	75039
3.5  	21.99	1.5  	75040
5    	 8.49	1.2  	75041
5    	 4.49	0.7  	75042
1    	26.49	1.8  	75043
1.5  	12.49	8.1  	75044
2.5  	16.49	4.5  	75045
4    	 5.49	7.5  	75046
2    	27.49	8.7  	75047
4    	18.99	7.4  	75048
4.5  	26.49	8.3  	75049
5    	21.49	9.8  	75050
4    	15.99	8.3  	75051
5    	 4.49	2.4  	75052
3.5  	 8.49	3.1  	75053
2    	 8.99	6.3  	75054
2    	19.49	9.7  	75055
2    	16.49	1.1  	75056
3    	17.49	4.5  	75057
2.5  	24.99	0    	75058
2.5  	17.49	2.3  	75059
4    	15.99	3    	75060
4    	 7.49	0.4  	75061
2.5  	20.49	6.3  	75062
2.5  	 7.49	6.2  	75063
4    	11.49	2    	75064
5    	20.49	2.5  	75065
3    	 5.99	8.7  	75066
4    	 5.99	3.6  	75067
3.5  	17.49	2.8  	75068
4    	10.99	1.8  	75069
5    	 3.49	3.3  	75070
1.5  	13.49	9.1  	75071
4    	20.99	6.8  	75072
2.5  	22.49	9.1  	75073
